id,target_text,whisper_text,wer,substitutions,deletions,insertions,hits,audio_duration_s,latency_s,is_success,error
common_voice_en_10119832-common_voice_en_10119840,"We asked over twenty different people, and they all said it was his.","We asked over twenty different people, and they all said it was his.",0.000000,0,0,0,13,3.9040,0.0000,True,
common_voice_en_10119832-common_voice_en_10119847,"We asked over twenty different people, and they all said it was his.","We asked over twenty different people, and they all said it was his.",0.000000,0,0,0,13,3.9040,0.0000,True,
common_voice_en_103675-common_voice_en_103676,I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack I have no intention of sharing.,I'm never more aware of a room's cos tics than when I'm trying to enjoy a snack. I have no intention of sharing.,0.080000,1,0,1,24,6.4853,0.0000,True,
common_voice_en_103675-common_voice_en_103677,I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack I have no intention of sharing.,I'm never more aware of a room's acoustics than when I'm trying to enjoy a snack. I have no intention of sharing.,0.000000,0,0,0,25,6.4853,0.0000,True,
common_voice_en_10933823-common_voice_en_10933822,Sometimes I overthink things which leads me to postpone and ultimately never achieve the goal I had in mind.,"Sometimes I overthink things, which leads me to postpone and ultimately never achieve the goal I had in mind.",0.000000,0,0,0,19,7.7823,0.0000,True,
common_voice_en_10933823-common_voice_en_10933825,Sometimes I overthink things which leads me to postpone and ultimately never achieve the goal I had in mind.,"Sometimes I overthink things, which leads me to postpone and, ultimately, never achieve the goal I had in mind.",0.000000,0,0,0,19,7.7823,0.0000,True,
common_voice_en_120405-common_voice_en_120402,He approached the mass and was surprised at the size and the shape.,"He approached the mass, and was surprised at the size and the shape.",0.000000,0,0,0,13,6.0629,0.0000,True,
common_voice_en_120405-common_voice_en_120406,He approached the mass and was surprised at the size and the shape.,"He approached the mass, and was surprised at the size and the shape.",0.000000,0,0,0,13,6.0629,0.0000,True,
common_voice_en_1205005-common_voice_en_1205007,"Roaming endlessly around the park, she wants to go home.","Roaming endlessly around the park, she wants to go home.",0.000000,0,0,0,10,3.7013,0.0000,True,
common_voice_en_1205005-common_voice_en_1205008,"Roaming endlessly around the park, she wants to go home.","Roaming endlessly around the park, she wants to go home.",0.000000,0,0,0,10,3.7013,0.0000,True,
common_voice_en_123125-common_voice_en_123126,"""There's no danger,"" the boy said, when they had moved on past the encampment.","There is no danger,"" the boys said when they had moved on past the encampment.",0.066667,1,0,0,14,4.5120,0.0000,True,
common_voice_en_123125-common_voice_en_123127,"""There's no danger,"" the boy said, when they had moved on past the encampment.","There is no danger,"" the boys said when they had moved on past the encampment.",0.066667,1,0,0,14,4.5120,0.0000,True,
common_voice_en_125386-common_voice_en_125388,"It was, however, still so hot from its flight through the air.","It was, however, still so hot from its flight through the air.",0.000000,0,0,0,12,3.9787,0.0000,True,
common_voice_en_125386-common_voice_en_125389,"It was, however, still so hot from its flight through the air.","It was, however, still so hot from its flight through the air.",0.000000,0,0,0,12,3.9787,0.0000,True,
common_voice_en_137148-common_voice_en_137152,She walked across the street wearing stereo headphones and staring at her smartphone.,"She walked across the street, wearing stereo headphones and staring at her smartphone.",0.000000,0,0,0,13,5.0797,0.0000,True,
common_voice_en_13900-common_voice_en_13901,"Television can make you dumb, but it can also be good education.","Television can make you dumb, but it can also be good education.",0.000000,0,0,0,12,4.6133,0.0000,True,
common_voice_en_1416089-common_voice_en_1416090,"""Jellyfish can cause serious injuries"", the physician explained to the patient.","Jellyfish can cause serious injuries,"" the physician explained to the patient.",0.000000,0,0,0,11,4.4640,0.0000,True,
common_voice_en_1416089-common_voice_en_1416093,"""Jellyfish can cause serious injuries"", the physician explained to the patient.","Jellyfish can cause serious injuries,"" the physician explained to the patient.",0.000000,0,0,0,11,4.4640,0.0000,True,
common_voice_en_15265-common_voice_en_15266,Man with guitar holding a microphone in one hand and extending his other arm.,"Man with guitar, holding a microphone in one hand and extending his other arm.",0.000000,0,0,0,14,6.5520,0.0000,True,
common_voice_en_15265-common_voice_en_15268,Man with guitar holding a microphone in one hand and extending his other arm.,"Man with guitar, holding a microphone in one hand and extending his other arm.",0.000000,0,0,0,14,6.5520,0.0000,True,
common_voice_en_153872-common_voice_en_153873,"Hundreds must have seen it, and taken it for a falling star.",Hundreds must have seen it and taken it for a falling star.,0.000000,0,0,0,12,3.1680,0.0000,True,
common_voice_en_153872-common_voice_en_153874,"Hundreds must have seen it, and taken it for a falling star.","Hundreds must have seen it, and taken it for a falling star.",0.000000,0,0,0,12,3.1680,0.0000,True,
common_voice_en_155313-common_voice_en_155315,"Revenge is not my style, but obviously accidents will happen.","Revenge is not my style, but obviously accidents will happen.",0.000000,0,0,0,10,3.9791,0.0000,True,
common_voice_en_15734837-common_voice_en_15734838,I shall be neither more nor less meritorious.,I shall be neither more nor less meritorious.,0.000000,0,0,0,8,4.4355,0.0000,True,
common_voice_en_15735839-common_voice_en_15735837,She didn't like the trend of nylon stockings.,She didn't like the trend of nylon stockings.,0.000000,0,0,0,9,3.1627,0.0000,True,
common_voice_en_15903802-common_voice_en_15903807,Experts of geology agree: Yesterday's tsunami was just a herald of the imminent apocalypse.,Experts of geology agree. Yesterday's tsunami was just a herald of the imminent apocalypse.,0.000000,0,0,0,15,5.3547,0.0000,True,
common_voice_en_15903802-common_voice_en_15903815,Experts of geology agree: Yesterday's tsunami was just a herald of the imminent apocalypse.,Experts of geology agree. Yesterday's tsunami was just a herald of the imminent apocalypse.,0.000000,0,0,0,15,5.3547,0.0000,True,
common_voice_en_16666041-common_voice_en_16666040,"Birds feed their offspring with spiders, worms, slugs and bugs.","Birds feed their offspring with spiders, worms, slugs, and bugs.",0.000000,0,0,0,10,5.1520,0.0000,True,
common_voice_en_167249-common_voice_en_167246,Play the song from the genre Sunshine Reggae that appeals to me.,Play the song from the genre sunshine reggae that appeals to me.,0.000000,0,0,0,12,4.8853,0.0000,True,
common_voice_en_167249-common_voice_en_167247,Play the song from the genre Sunshine Reggae that appeals to me.,Play the song from the genre sunshine reggae that appeals to me.,0.000000,0,0,0,12,4.8853,0.0000,True,
common_voice_en_17147545-common_voice_en_17147546,It's probably a good idea to merge the two subsections in the synopsis.,It's probably a good idea to merge the two subsections in the synopsis.,0.000000,0,0,0,14,4.8320,0.0000,True,
common_voice_en_17161-common_voice_en_17159,"On the second day, the boy climbed to the top of a cliff near the camp.","On the second day, the boy climbed to the top of a cliff near the camp.",0.000000,0,0,0,16,4.1440,0.0000,True,
common_voice_en_17161-common_voice_en_17160,"On the second day, the boy climbed to the top of a cliff near the camp.","On the second day, the boy climbed to the top of a cliff near the camp.",0.000000,0,0,0,16,4.1440,0.0000,True,
common_voice_en_17249419-common_voice_en_17249428,"Using script blockers is generally a good idea, but it requires the user to learn a bit.","Using script blockers is generally a good idea, but it requires the user to learn a bit.",0.000000,0,0,0,17,5.6053,0.0000,True,
common_voice_en_17255102-common_voice_en_17255101,"I can reassure you, that we won't retreat until the oil until the peace is secured.",I can reassure you that we won't retreat until the oil until the peace is secured.,0.000000,0,0,0,17,6.1051,0.0000,True,
common_voice_en_17256676-common_voice_en_17256678,"Sometines, I need to clear my browser cache to save more storage space.",Sometimes I need to clear my browser cache to save more storage space.,0.076923,1,0,0,12,4.1814,0.0000,True,
common_voice_en_17259121-common_voice_en_17259122,"This part of the town was half residential, half industrial.","This part of the town was half residential, half industrial.",0.000000,0,0,0,10,5.1051,0.0000,True,
common_voice_en_17263752-common_voice_en_17263750,"After the prince had been rescued, he showed evidence of Stockholm syndrome.","After the prince had been rescued, he showed evidence of Stockholm syndrome.",0.000000,0,0,0,12,3.8133,0.0000,True,
common_voice_en_17263752-common_voice_en_17263755,"After the prince had been rescued, he showed evidence of Stockholm syndrome.","After the prince had been rescued, he showed evidence of Stockholm syndrome.",0.000000,0,0,0,12,3.8133,0.0000,True,
common_voice_en_17263780-common_voice_en_17263781,"Early to bed, early to rise, makes you healthy, wealthy & wise.","Early to bed, early to rise, makes you healthy, wealthy, and wise.",0.090909,0,0,1,11,4.3413,0.0000,True,
common_voice_en_17263780-common_voice_en_17263782,"Early to bed, early to rise, makes you healthy, wealthy & wise.","Early to bed, early to rise, makes you healthy, wealthy, and wise.",0.090909,0,0,1,11,4.3413,0.0000,True,
common_voice_en_17267923-common_voice_en_17267922,"I pressed the button for my nurse, but he did not come.","I pressed the button for my nurse, but he did not come.",0.000000,0,0,0,12,3.2000,0.0000,True,
common_voice_en_17268075-common_voice_en_17268076,"Pork cutlet is also very tasty, but our religion does not allow us to eat it.","Pork cutlet is also very tasty, but our religion does not allow us to eat it.",0.000000,0,0,0,16,3.9787,0.0000,True,
common_voice_en_17271507-common_voice_en_17271509,"Take this pill twice daily, once in the morning and once at bedtime.","Take this pill twice daily, once in the morning and once at bedtime.",0.000000,0,0,0,13,4.2507,0.0000,True,
common_voice_en_17271507-common_voice_en_17271510,"Take this pill twice daily, once in the morning and once at bedtime.","Take this pill twice daily, once in the morning and once at bedtime.",0.000000,0,0,0,13,4.2507,0.0000,True,
common_voice_en_17274522-common_voice_en_17274523,"Palm oil is cheap, but workers on illegal plantations get exploited and huge areas of jungle get destroyed for its production.","Palm oil is cheap, but workers on illegal plantations get exploited, and huge areas of jungle get destroyed for its production.",0.000000,0,0,0,21,6.8449,0.0000,True,
common_voice_en_17274522-common_voice_en_17274525,"Palm oil is cheap, but workers on illegal plantations get exploited and huge areas of jungle get destroyed for its production.","Palm oil is cheap, but workers on illegal plantations get exploited, and huge areas of jungle get destroyed for its production.",0.000000,0,0,0,21,6.8449,0.0000,True,
common_voice_en_17274533-common_voice_en_17274531,"She put on her slippers, scaled the stairs, and went to bed.","She put on her slippers, scaled the stairs, and went to bed.",0.000000,0,0,0,12,4.1067,0.0000,True,
common_voice_en_17275818-common_voice_en_17275816,They're trying to get people with vague ideas for projects to come together.,They're trying to get people with vague ideas for projects to come together.,0.000000,0,0,0,14,3.7760,0.0000,True,
common_voice_en_17275818-common_voice_en_17275817,They're trying to get people with vague ideas for projects to come together.,They're trying to get people with vague ideas for projects to come together.,0.000000,0,0,0,14,3.7760,0.0000,True,
